# qp RMSE Hausdorff
1 0.636074 1.60517
2 0.232748 0.567561
3 0.103679 0.26462
4 0.0494078 0.123015
5 0.0240371 0.0622837
6 0.0120005 0.0343736
7 0.00599291 0.0196174
8 0.0030023 0.0112362
9 0.001497 0.00556555
10 0.000744592 0.00280333
11 0.000372989 0.00137252
12 0.000186954 0.000717456
13 9.33111e-05 0.000366153
14 4.65807e-05 0.000180327
15 2.33147e-05 8.8496e-05
16 1.16567e-05 4.37119e-05
17 5.83025e-06 2.10722e-05
18 2.9148e-06 1.11749e-05
19 1.46065e-06 5.5806e-06
20 7.33565e-07 2.76889e-06
21 3.70201e-07 1.35002e-06
22 1.92151e-07 7.13391e-07
23 1.09775e-07 4.05355e-07
24 6.64945e-08 2.5332e-07
25 4.14852e-08 1.78814e-07
26 2.84737e-08 1.38188e-07
27 2.54761e-08 1.21058e-07
28 2.51236e-08 1.07712e-07
29 2.50793e-08 1.05433e-07
30 2.50732e-08 1.03238e-07
